eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,Anthropogenic
718869,LDG,LDG|LDG-ML,1976,1,10,18,17,33.2,,7.4,44.3,,,,5.0,,2.19,0.214,,1585201|LDG|2.60|mL
718875,LDG,LDG|LDG-ML,1976,1,10,22,3,2.8,,-1.3,45.9,,,,15.0,,2.19,0.214,,1585214|LDG|2.60|mL
719080,LDG,LDG|LDG-ML,1976,1,15,9,18,16.1,,8.0,48.0,,,,5.0,,2.29,0.214,,1585658|LDG|2.70|mL
719527,LDG,LDG|LDG-ML,1976,1,23,3,2,40.5,,9.5,44.3,,,,0.0,,2.89,0.214,,1586760|LDG|3.30|mL
719817,LDG,LDG|LDG-ML,1976,1,29,11,39,8.2,,7.8,46.2,,,,0.0,,3.09,0.214,,1587424|ZUR|3.50|mL,1587425|LDG|3.50|mL
717348,LDG,LDG|LDG-ML,1976,2,1,13,19,54.7,,5.7,50.7,,,,0.0,,2.39,0.214,,1581688|LDG|2.80|mL
717651,LDG,LDG|LDG-ML,1976,2,8,20,45,54.2,,9.7,45.9,,,,0.0,,2.69,0.214,,1582406|LDG|3.10|mL
717685,LDG,LDG|LDG-ML,1976,2,9,11,6,2.8,,-3.7,48.5,,,,10.0,,2.29,0.214,,1582482|LDG|2.70|mL
717778,LDG,LDG|LDG-ML,1976,2,11,23,43,55.3,,-1.2,46.0,,,,5.0,,3.96,0.284,,1582687|LDG|4.40|mL
717780,LDG,LDG|LDG-ML,1976,2,12,1,46,11.3,,-1.4,46.0,,,,25.0,,2.49,0.214,,1582691|LDG|2.90|mL
718101,LDG,LDG|LDG-ML,1976,2,21,18,10,41.2,,7.5,50.1,,,,10.0,,2.29,0.214,,1583420|LDG|2.70|mL
718281,LDG,LDG|LDG-ML,1976,2,26,20,9,35.3,,-1.4,45.9,,,,15.0,,2.19,0.214,,1583869|LDG|2.60|mL
718299,LDG,LDG|LDG-ML,1976,2,27,7,35,51.8,,-5.5,47.1,,,,25.0,,3.09,0.214,,1583906|LDG|3.50|mL
718306,LDG,LDG|LDG-ML,1976,2,27,10,42,37.4,,-5.5,47.1,,,,10.0,,2.89,0.214,,1583919|LDG|3.30|mL
718378,LDG,LDG|LDG-ML,1976,2,29,3,40,20.1,,8.4,47.8,,,,10.0,,3.38,0.214,,1584045|ZUR|3.30|mL,1584046|LDG|3.80|mL
