Magnitude - Distance Spectra (km) IMT Trellis
vs30measured,True,hypo_depth,10.0,rake,0.0,z1pt0,100.0,vs30,800.0,ztor,5.0,dip,90.0
Magnitude,5.0,rhypo,11.1803398875,rx,5.0,rjb,5.0,repi,5.0,rrup,7.07106781187
IMT,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
1.7,0.00045630,0.00031128,0.00036704,0.00094838,0.00056697,0.00052296
1.8,0.00040092,0.00027954,0.00033541,0.00084794,0.00050536,0.00047209
1.9,0.00037383,0.00025250,0.00030860,0.00076274,0.00045293,0.00042854
2.0,0.00034928,0.00022927,0.00027953,0.00068985,0.00040797,0.00039095
3.0,0.00019502,-999.000,0.00012842,0.00028210,0.00016816,0.00019418
4.0,0.00002305,-999.000,0.00007842,0.00015969,0.00008561,0.00011708
5.0,-999.000,-999.000,-999.000,0.00010944,0.00004942,0.00009141
7.5,-999.000,-999.000,-999.000,0.00005302,0.00001641,-999.000
10.0,-999.000,-999.000,-999.000,0.00002732,0.00000666,-999.000
====================================================
Magnitude,6.0,rhypo,11.1803398875,rx,5.0,rjb,5.0,repi,5.0,rrup,7.07106781187
IMT,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
0.05,0.37375037,0.20524058,0.34195896,0.27148008,0.37508419,0.29229689
0.075,0.43738978,0.27543814,0.44254409,0.36728466,0.47706167,0.38908157
0.1,0.48933953,0.33321946,0.50728462,0.42535471,0.55615963,0.47553518
0.11,0.50429082,0.34236981,0.52215755,0.44016089,0.57160026,0.47415711
0.12,0.51836867,0.35098553,0.53306044,0.45411268,0.58603126,0.47299518
0.13,0.53169161,0.35908815,0.53858937,0.46725782,0.59959062,0.47199962
0.14,0.54435432,0.36678875,0.53957586,0.47975624,0.61238814,0.47113481
0.15,0.55643379,0.37413438,0.53703925,0.49168256,0.62451273,0.47037460
0.16,0.55137773,0.38022438,0.52561992,0.48118057,0.62044340,0.45504129
0.17,0.54665244,0.38606742,0.51215843,0.47152776,0.61658281,0.44140949
0.18,0.54221881,0.39163784,0.49651600,0.46255280,0.61290541,0.42917821
0.19,0.53804420,0.39700694,0.47883031,0.45422688,0.60938974,0.41811594
0.2,0.53410110,0.40219219,0.46174751,0.44647250,0.60601766,0.40804144
0.22,0.52516031,0.38320891,0.43223482,0.42024107,0.58679916,0.38587726
0.24,0.51681267,0.36463298,0.40421827,0.39763207,0.56953046,0.36703816
0.26,0.50515524,0.34594350,0.38305912,0.37738098,0.54988688,0.34649081
0.28,0.49087224,0.32849718,0.35491050,0.35887585,0.52836795,0.32465262
0.3,0.47781415,0.31315998,0.33297792,0.34246507,0.50883397,0.30547823
0.32,0.45099722,0.29586092,0.30737838,0.32792481,0.48463966,0.29094541
0.34,0.42711699,0.27996412,0.28638709,0.31481737,0.46271330,0.27838278
0.36,0.40313801,0.26529562,0.27271587,0.30292946,0.44271521,0.26746330
0.38,0.37929618,0.25173128,0.25788679,0.29211309,0.42437202,0.25793110
0.4,0.35794373,0.23912579,0.24515280,0.28220123,0.40746114,0.24958344
0.42,0.33553980,0.22421765,0.23224781,0.26766993,0.38855925,0.23736724
0.44,0.31548469,0.21081217,0.21963530,0.25450885,0.37118028,0.22681884
0.46,0.29818651,0.19870185,0.20935446,0.24253506,0.35513708,0.21771948
