Distance (km) Total Standard Deviations Trellis
vs30measured,True,hypo_depth,10.0,rake,0.0,z1pt0,100.0,vs30,800.0,ztor,5.0,dip,90.0
Magnitude,6.50
PGA
rhypo,rx,rjb,repi,rrup,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
111.4495,111.0000,111.0000,111.0000,111.1126,0.64851429,0.83221571,0.71210534,0.56400000,0.56035986,0.67574033
112.4455,112.0000,112.0000,112.0000,112.1116,0.64851429,0.83221571,0.71210534,0.56400000,0.56036320,0.67574033
113.4416,113.0000,113.0000,113.0000,113.1106,0.64851429,0.83221571,0.71210534,0.56400000,0.56036648,0.67574033
114.4378,114.0000,114.0000,114.0000,114.1096,0.64851429,0.83221571,0.71210534,0.56400000,0.56036972,0.67574033
115.4340,115.0000,115.0000,115.0000,115.1086,0.64851429,0.83221571,0.71210534,0.56400000,0.56037291,0.67574033
116.4302,116.0000,116.0000,116.0000,116.1077,0.64851429,0.83221571,0.71210534,0.56400000,0.56037606,0.67574033
117.4266,117.0000,117.0000,117.0000,117.1068,0.64851429,0.83221571,0.71210534,0.56400000,0.56037917,0.67574033
118.4230,118.0000,118.0000,118.0000,118.1059,0.64851429,0.83221571,0.71210534,0.56400000,0.56038223,0.67574033
119.4194,119.0000,119.0000,119.0000,119.1050,0.64851429,0.83221571,0.71210534,0.56400000,0.56038525,0.67574033
120.4159,120.0000,120.0000,120.0000,120.1041,0.64851429,0.83221571,0.71210534,0.56400000,0.56038823,0.67574033
121.4125,121.0000,121.0000,121.0000,121.1033,0.64851429,0.83221571,0.71210534,0.56400000,0.56039117,0.67574033
122.4091,122.0000,122.0000,122.0000,122.1024,0.64851429,0.83221571,0.71210534,0.56400000,0.56039407,0.67574033
123.4058,123.0000,123.0000,123.0000,123.1016,0.64851429,0.83221571,0.71210534,0.56400000,0.56039693,0.67574033
124.4026,124.0000,124.0000,124.0000,124.1008,0.64851429,0.83221571,0.71210534,0.56400000,0.56039976,0.67574033
125.3994,125.0000,125.0000,125.0000,125.1000,0.64851429,0.83221571,0.71210534,0.56400000,0.56040254,0.67574033
126.3962,126.0000,126.0000,126.0000,126.0992,0.64851429,0.83221571,0.71210534,0.56400000,0.56040529,0.67574033
127.3931,127.0000,127.0000,127.0000,127.0984,0.64851429,0.83221571,0.71210534,0.56400000,0.56040801,0.67574033
128.3900,128.0000,128.0000,128.0000,128.0976,0.64851429,0.83221571,0.71210534,0.56400000,0.56041068,0.67574033
129.3870,129.0000,129.0000,129.0000,129.0969,0.64851429,0.83221571,0.71210534,0.56400000,0.56041333,0.67574033
130.3840,130.0000,130.0000,130.0000,130.0961,0.64851429,0.83221571,0.71210534,0.56400000,0.56041594,0.67574033
131.3811,131.0000,131.0000,131.0000,131.0954,0.64851429,0.83221571,0.71210534,0.56400000,0.56041851,0.67574033
132.3782,132.0000,132.0000,132.0000,132.0947,0.64851429,0.83221571,0.71210534,0.56400000,0.56042105,0.67574033
133.3754,133.0000,133.0000,133.0000,133.0940,0.64851429,0.83221571,0.71210534,0.56400000,0.56042356,0.67574033
134.3726,134.0000,134.0000,134.0000,134.0933,0.64851429,0.83221571,0.71210534,0.56400000,0.56042604,0.67574033
135.3699,135.0000,135.0000,135.0000,135.0926,0.64851429,0.83221571,0.71210534,0.56400000,0.56042849,0.67574033
136.3672,136.0000,136.0000,136.0000,136.0919,0.64851429,0.83221571,0.71210534,0.56400000,0.56043090,0.67574033
137.3645,137.0000,137.0000,137.0000,137.0912,0.64851429,0.83221571,0.71210534,0.56400000,0.56043328,0.67574033
138.3618,138.0000,138.0000,138.0000,138.0906,0.64851429,0.83221571,0.71210534,0.56400000,0.56043564,0.67574033
139.3592,139.0000,139.0000,139.0000,139.0899,0.64851429,0.83221571,0.71210534,0.56400000,0.56043796,0.67574033
140.3567,140.0000,140.0000,140.0000,140.0893,0.64851429,0.83221571,0.71210534,0.56400000,0.56044026,0.67574033
141.3542,141.0000,141.0000,141.0000,141.0886,0.64851429,0.83221571,0.71210534,0.56400000,0.56044253,0.67574033
142.3517,142.0000,142.0000,142.0000,142.0880,0.64851429,0.83221571,0.71210534,0.56400000,0.56044477,0.67574033
143.3492,143.0000,143.0000,143.0000,143.0874,0.64851429,0.83221571,0.71210534,0.56400000,0.56044698,0.67574033
144.3468,144.0000,144.0000,144.0000,144.0868,0.64851429,0.83221571,0.71210534,0.56400000,0.56044916,0.67574033
145.3444,145.0000,145.0000,145.0000,145.0862,0.64851429,0.83221571,0.71210534,0.56400000,0.56045132,0.67574033
146.3421,146.0000,146.0000,146.0000,146.0856,0.64851429,0.83221571,0.71210534,0.56400000,0.56045345,0.67574033
147.3397,147.0000,147.0000,147.0000,147.0850,0.64851429,0.83221571,0.71210534,0.56400000,0.56045555,0.67574033
148.3375,148.0000,148.0000,148.0000,148.0844,0.64851429,0.83221571,0.71210534,0.56400000,0.56045763,0.67574033
149.3352,149.0000,149.0000,149.0000,149.0839,0.64851429,0.83221571,0.71210534,0.56400000,0.56045968,0.67574033
150.3330,150.0000,150.0000,150.0000,150.0833,0.64851429,0.83221571,0.71210534,0.56400000,0.56046171,0.67574033
====================================================
SA(0.2)
rhypo,rx,rjb,repi,rrup,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
10.0000,0.0000,0.0000,0.0000,5.0000,0.69561709,0.89117458,0.76757403,0.59600000,0.62121121,0.75908366
10.0499,1.0000,1.0000,1.0000,5.0990,0.69561709,0.89117458,0.76757403,0.59600000,0.62122551,0.75908366
10.1980,2.0000,2.0000,2.0000,5.3852,0.69561709,0.89117458,0.76757403,0.59600000,0.62126686,0.75908366
10.4403,3.0000,3.0000,3.0000,5.8310,0.69561709,0.89117458,0.76757403,0.59600000,0.62133129,0.75908366
10.7703,4.0000,4.0000,4.0000,6.4031,0.69561709,0.89117458,0.76757403,0.59600000,0.62141396,0.75908366
11.1803,5.0000,5.0000,5.0000,7.0711,0.69561709,0.89117458,0.76757403,0.59600000,0.62151025,0.75908366
11.6619,6.0000,6.0000,6.0000,7.8102,0.69561709,0.89117458,0.76757403,0.59600000,0.62161633,0.75908366
12.2066,7.0000,7.0000,7.0000,8.6023,0.69561709,0.89117458,0.76757403,0.59600000,0.62172919,0.75908366
12.8062,8.0000,8.0000,8.0000,9.4340,0.69561709,0.89117458,0.76757403,0.59600000,0.62184650,0.75908366
13.4536,9.0000,9.0000,9.0000,10.2956,0.69561709,0.89117458,0.76757403,0.59600000,0.62196648,0.75908366
14.1421,10.0000,10.0000,10.0000,11.1803,0.69561709,0.89117458,0.76757403,0.59600000,0.62208773,0.75908366
14.8661,11.0000,11.0000,11.0000,12.0830,0.69561709,0.89117458,0.76757403,0.59600000,0.62220917,0.75908366
15.6205,12.0000,12.0000,12.0000,13.0000,0.69561709,0.89117458,0.76757403,0.59600000,0.62232995,0.75908366
16.4012,13.0000,13.0000,13.0000,13.9284,0.69561709,0.89117458,0.76757403,0.59600000,0.62244940,0.75908366
17.2047,14.0000,14.0000,14.0000,14.8661,0.69561709,0.89117458,0.76757403,0.59600000,0.62256698,0.75908366
18.0278,15.0000,15.0000,15.0000,15.8114,0.69561709,0.89117458,0.76757403,0.59600000,0.62268228,0.75908366
18.8680,16.0000,16.0000,16.0000,16.7631,0.69561709,0.89117458,0.76757403,0.59600000,0.62279499,0.75908366
19.7231,17.0000,17.0000,17.0000,17.7200,0.69561709,0.89117458,0.76757403,0.59600000,0.62290485,0.75908366
20.5913,18.0000,18.0000,18.0000,18.6815,0.69561709,0.89117458,0.76757403,0.59600000,0.62301169,0.75908366
21.4709,19.0000,19.0000,19.0000,19.6469,0.69561709,0.89117458,0.76757403,0.59600000,0.62311539,0.75908366
22.3607,20.0000,20.0000,20.0000,20.6155,0.69561709,0.89117458,0.76757403,0.59600000,0.62321587,0.75908366
23.2594,21.0000,21.0000,21.0000,21.5870,0.69561709,0.89117458,0.76757403,0.59600000,0.62331310,0.75908366
24.1661,22.0000,22.0000,22.0000,22.5610,0.69561709,0.89117458,0.76757403,0.59600000,0.62340707,0.75908366
25.0799,23.0000,23.0000,23.0000,23.5372,0.69561709,0.89117458,0.76757403,0.59600000,0.62349779,0.75908366
26.0000,24.0000,24.0000,24.0000,24.5153,0.69561709,0.89117458,0.76757403,0.59600000,0.62358531,0.75908366
26.9258,25.0000,25.0000,25.0000,25.4951,0.69561709,0.89117458,0.76757403,0.59600000,0.62366967,0.75908366
27.8568,26.0000,26.0000,26.0000,26.4764,0.69561709,0.89117458,0.76757403,0.59600000,0.62375096,0.75908366
28.7924,27.0000,27.0000,27.0000,27.4591,0.69561709,0.89117458,0.76757403,0.59600000,0.62382924,0.75908366
29.7321,28.0000,28.0000,28.0000,28.4429,0.69561709,0.89117458,0.76757403,0.59600000,0.62390461,0.75908366
30.6757,29.0000,29.0000,29.0000,29.4279,0.69561709,0.89117458,0.76757403,0.59600000,0.62397715,0.75908366
31.6228,30.0000,30.0000,30.0000,30.4138,0.69561709,0.89117458,0.76757403,0.59600000,0.62404698,0.75908366
32.5730,31.0000,31.0000,31.0000,31.4006,0.69561709,0.89117458,0.76757403,0.59600000,0.62411417,0.75908366
33.5261,32.0000,32.0000,32.0000,32.3883,0.69561709,0.89117458,0.76757403,0.59600000,0.62417884,0.75908366
34.4819,33.0000,33.0000,33.0000,33.3766,0.69561709,0.89117458,0.76757403,0.59600000,0.62424109,0.75908366
